conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,86087E+18;Mon Nov 25 02:11:36 +0000 2024;161;Usai kunjungan ke London Inggris Presiden Prabowo Subianto tiba di Abu Dhabi Persatuan Emirat Arab (PEA) pada Sabtu (23/11/2024) untuk melakukan kunjungan kenegaraan dan bertemu Presiden Sheikh Mohamed bin Zayed Al Nahyan (MBZ). Di Qasr Al Watn Presiden Prabowo dan https://t.co/k8rfg9nZj7;1,86087E+18;https://pbs.twimg.com/media/GdMiZpebQAA7QR3.jpg;;in;Jakarta;1;10;29;https://x.com/setkabgoid/status/1860868909848842355;260686783;setkabgoid
1,86086E+18;Mon Nov 25 01:47:07 +0000 2024;1268;I'm coming home 🇮🇩 Bapak Presiden @prabowo tiba di tanah air. https://t.co/cdZ0JJ7oRB;1,86086E+18;https://pbs.twimg.com/ext_tw_video_thumb/1860862643017527296/pu/img/euGHkwCM00Cue2jt.jpg;;in;Indonesia Raya ;19;188;131;https://x.com/Gerindra/status/1860862749460627668;397673651;Gerindra
1,86085E+18;Mon Nov 25 00:41:42 +0000 2024;133;"Mesranya bahasa tubuh presiden @prabowo &amp; Wapres @gibran_tweet yang nggak suka boleh skip... https://t.co/DqesxI8b0L";1,86085E+18;https://pbs.twimg.com/ext_tw_video_thumb/1860649003727409152/pu/img/h05hnqqU9K21cRr8.jpg;;in;Sweet home;1;35;31;https://x.com/__LOVE_AG4EVER/status/1860846286624424182;7,99023E+17;__LOVE_AG4EVER
1,86075E+18;Sun Nov 24 18:22:48 +0000 2024;244;Dari pada RUU Perampasan Aset alot di DPR-RI. Lebih baik Presiden Prabowo membuat dan menekan Perpu Perampasan Aset. Agar bisa segera dilaksanakan jika ada kasus hukum Politikus PDIP Tantang Pemerintah Teken Perppu soal Perampasan Aset https://t.co/bIaHSK8ocR;1,86075E+18;;;in;Jakarta - Yogya - Rotterdam;7;40;78;https://x.com/Jayabay19479190/status/1860750932952359379;7,9451E+17;Jayabay19479190
1,8607E+18;Sun Nov 24 14:50:55 +0000 2024;409;Udah terang2an gini mereka berkonspirasi dalam kejahatan. (Hasto dan jokowi) Ajaib aja kalo tim @aniesbaswedan ga melaporkan.. Mumpung presiden sekarang @prabowo https://t.co/hSKgiGUbKr;1,8607E+18;https://pbs.twimg.com/amplify_video_thumb/1860163414301245441/img/FKFDPWSDhRVSl2tl.jpg;;in;;6;36;146;https://x.com/Tan_Mar3M/status/1860697611667476528;1,27098E+18;Tan_Mar3M
1,86069E+18;Sun Nov 24 14:20:54 +0000 2024;240;Prabowo Diminta Jokowi Dukung Luthfi Mantan presiden Jokowi ditengarai meminta Presiden Prabowo Subianto mendukung Ahmad Luthfi di Jawa Tengah. Melanggar aturan dan etika. Simak selengkapnya di https://t.co/AcWRE51taA #BocorAlusPolitik #PodcastBAP #PodcastTempo #MajalahTempo https://t.co/uck8MKzgLk;1,86069E+18;https://pbs.twimg.com/media/GdJ_u2SaoAEEJfH.jpg;;in;Indonesia;8;52;106;https://x.com/tempodotco/status/1860690057935659291;18129942;tempodotco
1,86068E+18;Sun Nov 24 13:59:59 +0000 2024;524;@DokterTifa Bukti sdh nyata sebetulnya. Tinggal Presiden Prabowo mau usut atau tidak. Harusnya sih dia usut kalau memang membela rakyat sesuai pidato beliau. ;1,86068E+18;;DokterTifa;in;;1;13;12;https://x.com/PilotArie/status/1860684795350761927;1,5407E+18;PilotArie
1,86067E+18;Sun Nov 24 12:51:08 +0000 2024;355;Ketika pak Presiden @prabowo berbincang2 dgn calon Gubernur DKI Jakarta @ridwankamil dan calon Gubernur Jawa Barat @DediMulyadi71 Aura akan di lantik nya sudah terlihat https://t.co/IQ5VYOJpwV;1,86067E+18;https://pbs.twimg.com/ext_tw_video_thumb/1860667433360695296/pu/img/Ranyprv3QmBkrzTM.jpg;;in;Osaka-shi Kita-ku, Osaka;11;151;59;https://x.com/xquitavee/status/1860667469377294398;1,60441E+18;xquitavee
1,86064E+18;Sun Nov 24 12:39:38 +0000 2024;499;@DokterTifa Betapa sakti nya si Futufafa sampai tdk ada yg berani membawa nya ke ranah hukum. Presiden Prabowo pun cuek2 sj walau sdh dihinanya;1,86066E+18;;DokterTifa;in;;0;13;12;https://x.com/mang_Deddy/status/1860664574858703277;1,79306E+18;mang_Deddy
1,86065E+18;Sun Nov 24 11:38:00 +0000 2024;289;Memgutip dari Tiktok Gibran Rakabuming Menyambut Bapak Presiden @prabowo yang membawa oleh-oleh komitmen investasi dan kerjasama di berbagai bidang sebesar USD 18 5 Milyar (+/- Rp 294T) untuk rakyat Indonesia dari hasil lawatan selama dua minggu ke enam negara. Hutang kok https://t.co/8CTwehWOWO;1,86065E+18;https://pbs.twimg.com/ext_tw_video_thumb/1860649003727409152/pu/img/h05hnqqU9K21cRr8.jpg;;in;;8;115;57;https://x.com/CakKhum/status/1860649061310976095;1,11254E+18;CakKhum
