Unnamed: 0,full_text,text_processed
617,@Ndons_Back @SBYudhoyono @prabowo @are_inismyname @florieliciouss @BANGSAygSUJUD @99propaganda @Kimberley_PS08 @IrawanRommi @DarekaRendy @Top8rendusara @Andiarief__ Nah kl mentor na SBy gw demen....bukan si *ah sudahlah*. Hrs na om @prabowo dan tim om @bang_dasco teriak nya ...hidoppp SBY..'. @SBYudhoyono krn jelass kinerja batu akik aj bs jd duit wkt dy efek presiden kerasaaa batu pancawarna pacitan dll,kl mentor na sby gw demen si ah hrs na om tim om teriak nya hidoppp sby krn jelass kerja batu akik aj bs jd duit wkt dy efek presiden kerasaaa batu pancawarna pacitan dll
618,@abu_waras Kenapa hasil survei publik puas dengan kinerja pemerintahan Prabowo-Gibran @grok,hasil survei publik puas kerja perintah prabowo gibran
619,@democrazymedia Harusnya 87% masyarakat suka kinerja Prabowo Gibran. Kl mo ngebo'ong jgn tanggung2 cuy.,masyarakat suka kerja prabowo gibran kl mo ngebo ong jgn tanggung cuy
620,@grok bagaimana kinerja Prabowo ketika menjadi menhan tahun 2019-2024 dari 1 sampai 10 berapa nilainya?,kerja prabowo menhan nilai
621,@VDSyst3msX Kalo @grok puas gak sih sama kinerja prabowo gibran? Jawab ya,kalo puas gak sih kerja prabowo gibran ya
622,@NdaAndan @setengahkuadrat @ARSIPAJA Survei itu dipublikasikan untuk berbagi hasil penelitian tentang kepuasan publik terhadap kinerja pemerintahan Prabowo-Gibran (78%) dan persepsi terhadap Wantimpres mendukung transparansi. Dirilis oleh Cigmark Research pada 27 Maret 2025 survei ini mengevaluasi semester pertama https://t.co/WYchORxlgA,survei publikasi bagi hasil teliti puas publik kerja perintah prabowo gibran persepsi wantimpres dukung transparansi rilis cigmark research maret survei evaluasi semester pe ama
623,@TheCurut007 @grok Apakah benar 78% responden puas akan kinerja prabowo- gibran?,responden puas kerja prabowo gibran
624,@NenkMonica Bagi bansos sekalian survey. 78 % warga puas dg kinerja prabowo gibran. Padahal suara cuma 58%,bansos survey warga puas dg kerja prabowo gibran suara
625,@tanyarlfes Gw yg dukung pragib sebenarnya pengen damai sama anak Abah sekarang udh idul Fitri loh dari idul Fitri tahun kemarin jir debat Mulu udh woi jngn debat Mulu cape gw lu mau ngarepin apa si? Tinggal nikmatin aja si kinerja pak Prabowo Sekarang,gw yg dukung pragib ken damai anak abah udh idul fitri loh idul fitri kemarin jir debat mulu udh woi jngn debat mulu cape gw lu ngarepin si tinggal nikmatin aja si kerja prabowo
626,Kenapa anda memukul/menganiaya sdr eko yg mengambil motor anda YG AMBIL MOTOR ITU MALING PAK??!! KEMANA OTAK ANDA??? ATAU ANDA SDH BEKERJA SAMA DGN SDR EKO??!! @DivHumas_Polri @ListyoSigitP @prabowo INIKAH KINERJA POLRI TANPA PAKAI ,pukul aniaya sdr eko yg ambil motor yg ambil motor maling mana otak sdh dgn sdr eko kerja polri pakai
627,@RIPDEMOKRASI ️ MUKA muka TOLOL GA ada kinerja sama sekali Menang cara culas 58% pendukung IDIOT OTAK goblok Belum 100hr sudah di demo Seluruh Indonesia Apa yang u bangga njing @prabowo @gibran_tweet Mengacalah bila kalian IQ diatas standar Sebut kan PRESTASI kalian Apa PRESTAI doang https://t.co/D07U1q9DQg,muka muka tolol ga kerja menang culas dukung idiot otak goblok hr demo indonesia u bangga njing kaca iq atas standar prestasi prestai doang
628,@soppyan @ARSIPAJA Berdasarkan survei Cigmark Maret 2025 78% warga Indonesia puas dengan kinerja Prabowo-Gibran di semester pertama. Kepuasan mencakup 68 6% cukup puas dan 9 3% sangat puas terutama di bidang keamanan nasional hubungan internasional dan manajemen bencana. Namun angka https://t.co/nd1mBYdb4H,dasar survei cigmark maret warga indonesia puas kerja prabowo gibran semester pe ama puas cakup puas puas bidang aman nasional hubung internasional manajemen bencana angka
629,@ARSIPAJA @grok apakah warga Indonesia puas dengan kinerja prabowo-gibran? dan beritahu berapa % yg puas,warga indonesia puas kerja prabowo gibran beritahu yg puas
630,@derajat_rizky @setengahkuadrat @ARSIPAJA Survei Cigmark soal kinerja Prabowo-Gibran (78% puas) kemungkinan pakai multi-stage random sampling frame-nya warga dengan akses telepon sampel 1.200 (±2.9% MoE). Statistik bilang cukup wakili 280 juta penduduk tapi ada potensi bias akses telepon. Reliabilitas &amp; validitas,survei cigmark kerja prabowo gibran puas pakai multi stage random sampling frame nya warga akses telepon sampel moe statistik bilang wakil juta duduk potensi bias akses telepon reliabilitas amp validitas
631,@wineedrip bagaimana kinerja prabowo selama menjabat presiden sejauh ini? ,kerja prabowo jabat presiden
632,@VDSyst3msX Apakah kalian puas dengan kinerja pemerintahan Prabowo Gibran?,puas kerja perintah prabowo gibran
633,@setengahkuadrat @ARSIPAJA Angka 78% berasal dari survei Cigmark Research (14-23 Maret 2025) soal kinerja semester pertama pemerintahan Prabowo-Gibran. Survei telepon ke 1200 responden di Indonesia menunjukkan 77 9% puas (dibulatkan jadi 78%) dengan margin of error +/- 2 9%. Liputan6 (28 Maret 2025) https://t.co/kgdrhkbBox,angka asal survei cigmark research maret kerja semester pe ama perintah prabowo gibran survei telepon responden indonesia puas bulat margin of error liput maret
634,@1stwineasy @txtdrimedia Survei CiGMark menunjukkan 78% publik puas dengan kinerja Prabowo-Gibran di semester pertama sesuai dengan poling lain seperti KedaiKopi (72 5%) dan Litbang Kompas (80 9%). Program Makan Bergizi Gratis (MBG) jadi faktor utama kepuasan meski ada kritik dari ekonom soal,survei cigmark publik puas kerja prabowo gibran semester pe ama sesuai poling sepe i kedaikopi litbang kompas program makan gizi gratis mbg faktor utama puas kritik ekonom
